item,Description,Cost_Amazon,Cost_flipkart,Cost_RelianceDigital
boAtBassheads100,Wired,399,399,499
OnePlusBulletsWirelessZ,BluetoothEarphoneswithMic,1999,Not_found,1999
RedmiNote9Pro,4GB,12999,15982,15499
OnePlusBulletsWirelessZ,ReverbRed,1999,1099,1999
boAtBassheads242,WiredEarphoneswithMic,499,399,399
RedmiNote9Pro,4GB,12999,15499,15499
JBLC100SIIn,HeadphoneswithMic,599,Not_found,449
boAtRockerz255,EarBluetoothNeckbandEarphonewithMic,1399,578,1399
boAtRuggedv3,ExtraToughUnbreakableBraided,199,99,299
OnePlusBudsZ,White,2999,2999,3199
realmeBuds2,withMic,599,Not_found,599
Redmi9Prime,4GB,9999,10911,11499
OnePlusNord5G,8GB,27999,Not_found,27999
Redmi9A,3GB,7499,8806,7399
SanDiskCruzerBlade,32GB,340,597,349
Nokia105,SingleSIM,1180,1179,8429
NoiseColorfitPro2,FullTouchControlSmartWatch,2999,499,2999
pTronBassbudsin,EarTrueWirelessBluetooth5.0,999,1099,Not_found
Redmi9A,MidnightBlack3GBRam32GBStorage,7499,8028,7399
ELVCarMountAdjustableCarPhoneHolder,LongArmWindshieldforSmartphones,349,299,499
SamsungGalaxyM01,3GB,7499,8024,5999
pTronTangentLite,Bluetooth5.0,599,2499,Not_found
SamsungGalaxyM31,6GB,16499,17335,18499
Redmi9Prime,4GB,9999,11539,10399
MiPowerBank,20000mAh,1499,1399,2399
boAtBassheads225,inEarWiredEarphoneswithMic,549,450,399
OnePlusBulletsWirelessZBassEdition,BassBlue,1999,Not_found,1999
SamsungGalaxyM31PrimeEdition,6GB,16499,17335,18499
HPX1000WiredMouse,Black/Grey,319,319,349
Redmi9Prime,4GB,9999,11457,11499
ELVDesktopCellPhoneStand,AllSize,149,449,Not_found
pTronBassbudsLite,EarTrueWirelessBluetooth,999,Not_found,Not_found
boAtAirdopes441,IWPTechnologyImmersiveAudio,1999,Not_found,Not_found
BoultAudioBassBudsX1,WiredEarphoneswithMic,349,349,1699
RedmiNote9Pro,4GB,12999,Not_found,15499
boAtBassheads100,FuriousRed,399,399,499
HP803SmallInkCartridge,Black,753,250,753
TygotAdjustable,TripodStandHolderforMobile,349,339,1090
RedmiNote9ProMax,6GB,18499,17449,18999
Redmi8ADual,2GB,6999,14999,7999
boAtA350TypeCCable,Black,299,469,299
Redmi9A,2GB,6999,7898,7399
boAtBassheads100,inEarWiredEarphoneswithMic,399,399,399
RedmiNote9,4GB,11999,14990,13999
newFireTVStickwithAlexaVoiceRemote,includesTVcontrols,3999,Not_found,Not_found
Redmi9Prime,4GB,9999,11662,10399
